GRANDES_RE,NOME_UF,CODIGO_UF,NOME_MICRO,CODIGO_MIC,NOME_MESOR,CODIGO_MES,NOME_MUNIC,CODIGO_MUN,xcoord,ycoord,area_perimeter_area,area_perimeter_perimeter
,,,,,,,,,,,,
Centro-Oeste,DF,"53",Bras�lia,"53001",Bras�lia,"5301",Distrito Federal,530010.0000,-47.7967722516917,-15.7806991625805,0.489327923388601,3.41980537306015
Centro-Oeste,GO,"52",-gua Fria de Goi�s,"52012",Entorno de Bras�lia,"5204",Leste Goiano,520017.0000,-47.7950305146587,-14.9060603176293,0.170378786421225,2.46427677386814
Centro-Oeste,GO,"52",-gua Limpa,"52015",Meia Ponte,"5205",Sul Goiano,520020.0000,-48.7912140520466,-18.0776949738976,0.0385265517031712,1.19422916677327
Centro-Oeste,GO,"52",-guas Lindas de Goi�s,"52012",Entorno de Bras�lia,"5204",Leste Goiano,520025.0000,-48.2862997889853,-15.7554218323788,0.0161332565825205,0.600607016279875
Centro-Oeste,GO,"52",Abadia de Goi�s,"52010",Goi�nia,"5203",Centro Goiano,520005.0000,-49.4536613540986,-16.784846969721,0.0124810880507766,0.557578297444496
Centro-Oeste,GO,"52",Abadi�nia,"52012",Entorno de Bras�lia,"5204",Leste Goiano,520010.0000,-48.7131097586631,-16.1863317619347,0.0882425288342574,1.7045967958594
Centro-Oeste,GO,"52",Acre�na,"52014",Vale do Rio dos Bois,"5205",Sul Goiano,520013.0000,-50.3256721622759,-17.4516752914274,0.133294495901509,2.19156750106853
Centro-Oeste,GO,"52",Adel�ndia,"52009",Anicuns,"5203",Centro Goiano,520015.0000,-50.1842687127289,-16.3688119511411,0.00980304875753291,0.583977565922709
Centro-Oeste,GO,"52",Alex�nia,"52012",Entorno de Bras�lia,"5204",Leste Goiano,520030.0000,-48.4818095945543,-16.0885625732559,0.0715340655752357,1.39780506597982
Centro-Oeste,GO,"52",Alo�ndia,"52015",Meia Ponte,"5205",Sul Goiano,520050.0000,-49.4647727273367,-17.6927270148814,0.00864855244515184,0.424981326861609
Centro-Oeste,GO,"52",Alto Horizonte,"52004",Porangatu,"5202",Norte Goiano,520055.0000,-49.4285510506407,-14.1709619226722,0.0421602383812001,1.04687646659716
Centro-Oeste,GO,"52",Alto Para�so de Goi�s,"52005",Chapada dos Veadeiros,"5202",Norte Goiano,520060.0000,-47.5347684715596,-14.18263937016,0.216997593212739,3.00931991636948
Centro-Oeste,GO,"52",Alvorada do Norte,"52011",V�o do Paran�,"5204",Leste Goiano,520080.0000,-46.631254191472,-14.5660640081771,0.105699435285203,2.51958491225377
Centro-Oeste,GO,"52",Amaralina,"52004",Porangatu,"5202",Norte Goiano,520082.0000,-49.5980083880795,-13.8417282905289,0.118233738808215,2.70768465497295
Centro-Oeste,GO,"52",Americano do Brasil,"52009",Anicuns,"5203",Centro Goiano,520085.0000,-50.0011676887662,-16.2605551482494,0.0112789584489406,0.771361096446035
Centro-Oeste,GO,"52",Amorin�polis,"52008",Ipor�,"5203",Centro Goiano,520090.0000,-51.1067300287792,-16.6260634725179,0.0345693966997374,1.11560939632535
Centro-Oeste,GO,"52",Anhanguera,"52017",Catal�o,"5205",Sul Goiano,520120.0000,-48.2244307469731,-18.3107992156104,0.0047945659334232,0.311578959591044
Centro-Oeste,GO,"52",Anicuns,"52009",Anicuns,"5203",Centro Goiano,520130.0000,-49.9675146191026,-16.3978917811832,0.0828747887361487,1.63078308662619
Centro-Oeste,GO,"52",An�polis,"52007",An�polis,"5203",Centro Goiano,520110.0000,-48.9744554235951,-16.2867858799685,0.0776696357225433,2.04324064717053
Centro-Oeste,GO,"52",Aparecida de Goi�nia,"52010",Goi�nia,"5203",Centro Goiano,520140.0000,-49.2657303190916,-16.8116853678837,0.0243524140866498,0.844760346997135
Centro-Oeste,GO,"52",Aparecida do Rio Doce,"52013",Sudoeste de Goi�s,"5205",Sul Goiano,520145.0000,-51.2624809267427,-18.21640718967,0.0514167402184853,1.21320108021923
Centro-Oeste,GO,"52",Apor�,"52013",Sudoeste de Goi�s,"5205",Sul Goiano,520150.0000,-52.0449638650481,-18.767634785676,0.248622894905793,3.0504975346865
Centro-Oeste,GO,"52",Aragar�as,"52003",Aragar�as,"5201",Noroeste Goiano,520170.0000,-52.1289378548595,-15.9666205344841,0.0601048864286895,1.68204057207052
Centro-Oeste,GO,"52",Aragoi�nia,"52010",Goi�nia,"5203",Centro Goiano,520180.0000,-49.4186450882736,-16.9513891398483,0.0185089948332688,0.650082038819579
Centro-Oeste,GO,"52",Araguapaz,"52002",Rio Vermelho,"5201",Noroeste Goiano,520215.0000,-50.4391715519833,-15.1387862763584,0.184506300823386,2.6650766339241
Centro-Oeste,GO,"52",Ara�u,"52007",An�polis,"5203",Centro Goiano,520160.0000,-49.7026248473854,-16.3679289988836,0.0129072930309349,0.686059600312246
Centro-Oeste,GO,"52",Aren�polis,"52003",Aragar�as,"5201",Noroeste Goiano,520235.0000,-51.5840586463646,-16.3531985665599,0.0909737760081839,2.14334708619668
Centro-Oeste,GO,"52",Aruan�,"52002",Rio Vermelho,"5201",Noroeste Goiano,520250.0000,-50.9367312263138,-14.8051060700982,0.255981573379358,3.85359056874829
Centro-Oeste,GO,"52",Auril�ndia,"52009",Anicuns,"5203",Centro Goiano,520260.0000,-50.5253101504096,-16.694743937523,0.0477070611603381,1.33772125829332
Centro-Oeste,GO,"52",Avelin�polis,"52009",Anicuns,"5203",Centro Goiano,520280.0000,-49.7666739224939,-16.4931436824436,0.0138332107460428,0.584508497505702
Centro-Oeste,GO,"52",Baliza,"52003",Aragar�as,"5201",Noroeste Goiano,520310.0000,-52.4375693601052,-16.3595730957513,0.150924643430074,2.25997273025887
Centro-Oeste,GO,"52",Barro Alto,"52006",Ceres,"5203",Centro Goiano,520320.0000,-48.8806736074173,-14.9069230935268,0.0917606343585931,1.89778579978483
Centro-Oeste,GO,"52",Bela Vista de Goi�s,"52010",Goi�nia,"5203",Centro Goiano,520330.0000,-48.9116280604542,-16.9553787972091,0.10653747250052,2.21410362887344
Centro-Oeste,GO,"52",Bom Jardim de Goi�s,"52003",Aragar�as,"5201",Noroeste Goiano,520340.0000,-52.076270679038,-16.1743427420085,0.156271591222662,2.05427737435797
Centro-Oeste,GO,"52",Bom Jesus de Goi�s,"52015",Meia Ponte,"5205",Sul Goiano,520350.0000,-49.8791832976122,-18.1892107381003,0.119857860709942,2.34896218050082
Centro-Oeste,GO,"52",Bonfin�polis,"52010",Goi�nia,"5203",Centro Goiano,520355.0000,-49.0105850469833,-16.6008032862376,0.0104266363240413,0.559225795536653
Centro-Oeste,GO,"52",Bon�polis,"52004",Porangatu,"5202",Norte Goiano,520357.0000,-49.8632595149611,-13.5714400424429,0.13600179771953,2.49985037888398
Centro-Oeste,GO,"52",Brazabrantes,"52007",An�polis,"5203",Centro Goiano,520360.0000,-49.3775562486019,-16.3878760766805,0.0103920201844971,0.573990416132689
Centro-Oeste,GO,"52",Brit�nia,"52002",Rio Vermelho,"5201",Noroeste Goiano,520380.0000,-51.2078726902446,-15.2367179848177,0.122863764653516,2.70796603234839
Centro-Oeste,GO,"52",Buriti Alegre,"52015",Meia Ponte,"5205",Sul Goiano,520390.0000,-49.0064751606218,-18.1250712318451,0.0766144159585451,1.81809400979479
Centro-Oeste,GO,"52",Buriti de Goi�s,"52009",Anicuns,"5203",Centro Goiano,520393.0000,-50.4515694512046,-16.1687405068939,0.0167698215988139,0.712714183853819
Centro-Oeste,GO,"52",Buritin�polis,"52011",V�o do Paran�,"5204",Leste Goiano,520396.0000,-46.2958760748908,-14.4061333849397,0.0209071745695724,0.904730317999128
Centro-Oeste,GO,"52",Cabeceiras,"52012",Entorno de Bras�lia,"5204",Leste Goiano,520400.0000,-46.9920230434015,-15.7593870193504,0.0948300394276771,1.58494267209559
Centro-Oeste,GO,"52",Cachoeira Alta,"52018",Quirin�polis,"5205",Sul Goiano,520410.0000,-50.9814834894793,-18.5424247239655,0.141593136368101,2.38429546498216
Centro-Oeste,GO,"52",Cachoeira Dourada,"52015",Meia Ponte,"5205",Sul Goiano,520425.0000,-49.6219311786379,-18.491519205535,0.0445120600170412,1.28951958907296
Centro-Oeste,GO,"52",Cachoeira de Goi�s,"52008",Ipor�,"5203",Centro Goiano,520420.0000,-50.6973802213965,-16.7190980632068,0.0353026973902502,0.869096181448948
Centro-Oeste,GO,"52",Caiap�nia,"52013",Sudoeste de Goi�s,"5205",Sul Goiano,520440.0000,-51.8152169444818,-17.0070592208429,0.734083766471201,6.1098121272439
Centro-Oeste,GO,"52",Caldas Novas,"52015",Meia Ponte,"5205",Sul Goiano,520450.0000,-48.6454580117503,-17.7086933599586,0.135350115263407,2.3429306245807
Centro-Oeste,GO,"52",Caldazinha,"52010",Goi�nia,"5203",Centro Goiano,520455.0000,-48.972107290754,-16.7417788342894,0.0212024739733465,0.879124890020865
Centro-Oeste,GO,"52",Campestre de Goi�s,"52014",Vale do Rio dos Bois,"5205",Sul Goiano,520460.0000,-49.6995627200997,-16.787002680055,0.0231667144490189,0.780025384984096
Centro-Oeste,GO,"52",Campina�u,"52004",Porangatu,"5202",Norte Goiano,520465.0000,-48.5676378536533,-13.884504153183,0.165105209941999,2.10065327879736
Centro-Oeste,GO,"52",Campinorte,"52004",Porangatu,"5202",Norte Goiano,520470.0000,-48.9748897960153,-14.0445528972163,0.089354872121362,2.4186187680931
Centro-Oeste,GO,"52",Campo Alegre de Goi�s,"52017",Catal�o,"5205",Sul Goiano,520480.0000,-47.7679023027084,-17.5508501877704,0.20961446978481,2.71069693067652
