fed_unit,fu_code,city_code,city_name,pop_est
RO,11.0,15.0,Alta Floresta D'Oeste,22728
RO,11.0,23.0,Ariquemes,109523
RO,11.0,31.0,Cabixi,5188
RO,11.0,49.0,Cacoal,85893
RO,11.0,56.0,Cerejeiras,16204
RO,11.0,64.0,Colorado do Oeste,15544
RO,11.0,72.0,Corumbiara,7220
RO,11.0,80.0,Costa Marques,18798
RO,11.0,98.0,Espigão D'Oeste,32695
RO,11.0,106.0,Guajará-Mirim,46556
RO,11.0,114.0,Jaru,51620
RO,11.0,122.0,Ji-Paraná,130009
RO,11.0,130.0,Machadinho D'Oeste,40867
RO,11.0,148.0,Nova Brasilândia D'Oeste,20489
RO,11.0,155.0,Ouro Preto do Oeste,35737
RO,11.0,189.0,Pimenta Bueno,36881
RO,11.0,205.0,Porto Velho,539354(1)
RO,11.0,254.0,Presidente Médici,18571
RO,11.0,262.0,Rio Crespo,3804
RO,11.0,288.0,Rolim de Moura,55407
RO,11.0,296.0,Santa Luzia D'Oeste,6216
RO,11.0,304.0,Vilhena,102211
RO,11.0,320.0,São Miguel do Guaporé,23077
RO,11.0,338.0,Nova Mamoré,31392
RO,11.0,346.0,Alvorada D'Oeste,14106
RO,11.0,379.0,Alto Alegre dos Parecis,13255
RO,11.0,403.0,Alto Paraíso,21847
RO,11.0,452.0,Buritis,40356
RO,11.0,502.0,Novo Horizonte do Oeste,8329
RO,11.0,601.0,Cacaulândia,6269
RO,11.0,700.0,Campo Novo de Rondônia,14266
RO,11.0,809.0,Candeias do Jamari,27388
RO,11.0,908.0,Castanheiras,2987
RO,11.0,924.0,Chupinguaia,11472
RO,11.0,940.0,Cujubim,26183
RO,11.0,1005.0,Governador Jorge Teixeira,7445
RO,11.0,1104.0,Itapuã do Oeste,10641
RO,11.0,1203.0,Ministro Andreazza,9559
RO,11.0,1302.0,Mirante da Serra,10818
RO,11.0,1401.0,Monte Negro,16007
RO,11.0,1435.0,Nova União,6895
RO,11.0,1450.0,Parecis,6198
RO,11.0,1468.0,Pimenteiras do Oeste,2148
RO,11.0,1476.0,Primavera de Rondônia,2776
RO,11.0,1484.0,São Felipe D'Oeste,5066
RO,11.0,1492.0,São Francisco do Guaporé,20681
RO,11.0,1500.0,Seringueiras,11851
RO,11.0,1559.0,Teixeirópolis,4233
RO,11.0,1609.0,Theobroma,10395
RO,11.0,1708.0,Urupá,11272
RO,11.0,1757.0,Vale do Anari,11377
RO,11.0,1807.0,Vale do Paraíso,6656
AC,12.0,13.0,Acrelândia,15490
AC,12.0,54.0,Assis Brasil,7534
AC,12.0,104.0,Brasiléia,26702
AC,12.0,138.0,Bujari,10420
AC,12.0,179.0,Capixaba,12008
AC,12.0,203.0,Cruzeiro do Sul,89072
AC,12.0,252.0,Epitaciolândia,18696
AC,12.0,302.0,Feijó,34884
AC,12.0,328.0,Jordão,8473
AC,12.0,336.0,Mâncio Lima,19311
AC,12.0,344.0,Manoel Urbano,9581
AC,12.0,351.0,Marechal Thaumaturgo,19299
AC,12.0,385.0,Plácido de Castro,19955
AC,12.0,393.0,Porto Walter,12241
AC,12.0,401.0,Rio Branco,413418
AC,12.0,427.0,Rodrigues Alves,19351
AC,12.0,435.0,Santa Rosa do Purus,6717
AC,12.0,450.0,Senador Guiomard,23236
AC,12.0,500.0,Sena Madureira,46511
AC,12.0,609.0,Tarauacá,43151
AC,12.0,708.0,Xapuri,19596
AC,12.0,807.0,Porto Acre,18824
AM,13.0,29.0,Alvarães,16220
AM,13.0,60.0,Amaturá,11736
AM,13.0,86.0,Anamã,13956
AM,13.0,102.0,Anori,21477
AM,13.0,144.0,Apuí,22359
AM,13.0,201.0,Atalaia do Norte,20398
AM,13.0,300.0,Autazes,40290
AM,13.0,409.0,Barcelos,27638
AM,13.0,508.0,Barreirinha,32483
AM,13.0,607.0,Benjamin Constant,43935(12)
AM,13.0,631.0,Beruri,20093
AM,13.0,680.0,Boa Vista do Ramos,19626
AM,13.0,706.0,Boca do Acre,34635
AM,13.0,805.0,Borba,41748
AM,13.0,839.0,Caapiranga,13283 (13)
AM,13.0,904.0,Canutama,15807
AM,13.0,1001.0,Carauari,28508
AM,13.0,1100.0,Careiro,38348
AM,13.0,1159.0,Careiro da Várzea,30846
AM,13.0,1209.0,Coari,85910
AM,13.0,1308.0,Codajás,29168
AM,13.0,1407.0,Eirunepé,35700
AM,13.0,1506.0,Envira,20393
AM,13.0,1605.0,Fonte Boa,17005
AM,13.0,1654.0,Guajará,16937(14)
AM,13.0,1704.0,Humaitá,56144
AM,13.0,1803.0,Ipixuna,30436
AM,13.0,1852.0,Iranduba,49011
AM,13.0,1902.0,Itacoatiara,102701
AM,13.0,1951.0,Itamarati,7814
AM,13.0,2009.0,Itapiranga,9230
AM,13.0,2108.0,Japurá,2251
AM,13.0,2207.0,Juruá,15106
AM,13.0,2306.0,Jutaí,13886(15)
AM,13.0,2405.0,Lábrea,46882(16)
AM,13.0,2504.0,Manacapuru,98502
AM,13.0,2553.0,Manaquiri,33049 (2)
AM,13.0,2603.0,Manaus,2219580
AM,13.0,2702.0,Manicoré,56583
AM,13.0,2801.0,Maraã,18261
AM,13.0,2900.0,Maués,65040
AM,13.0,3007.0,Nhamundá,21443
AM,13.0,3106.0,Nova Olinda do Norte,38026
AM,13.0,3205.0,Novo Airão,19928
AM,13.0,3304.0,Novo Aripuanã,26046
AM,13.0,3403.0,Parintins,115363(17)
AM,13.0,3502.0,Pauini,19522
AM,13.0,3536.0,Presidente Figueiredo,37193
AM,13.0,3569.0,Rio Preto da Eva,34106
AM,13.0,3601.0,Santa Isabel do Rio Negro,25865(3)
AM,13.0,3700.0,Santo Antônio do Içá,21243
AM,13.0,3809.0,São Gabriel da Cachoeira,46303
AM,13.0,3908.0,São Paulo de Olivença,40073
AM,13.0,3957.0,São Sebastião do Uatumã,14352
AM,13.0,4005.0,Silves,9230
AM,13.0,4062.0,Tabatinga,67182(18)
AM,13.0,4104.0,Tapauá,17015
AM,13.0,4203.0,Tefé,59547
AM,13.0,4237.0,Tonantins,18897
AM,13.0,4260.0,Uarini,13690
AM,13.0,4302.0,Urucará,16130 (4)
AM,13.0,4401.0,Urucurituba,23585(19)
RR,14.0,27.0,Amajari,13185
RR,14.0,50.0,Alto Alegre,15380
RR,14.0,100.0,Boa Vista,419652
RR,14.0,159.0,Bonfim,12557
RR,14.0,175.0,Cantá,18799
RR,14.0,209.0,Caracaraí,22283
RR,14.0,233.0,Caroebe,10383
RR,14.0,282.0,Iracema,12296
RR,14.0,308.0,Mucajaí,18172
RR,14.0,407.0,Normandia,11532
RR,14.0,456.0,Pacaraima,18913
RR,14.0,472.0,Rorainópolis,30782
RR,14.0,506.0,São João da Baliza,8348
RR,14.0,605.0,São Luiz,8110
RR,14.0,704.0,Uiramutã,10789
PA,15.0,107.0,Abaetetuba,159080
PA,15.0,131.0,Abel Figueiredo,7486
PA,15.0,206.0,Acará,55669
PA,15.0,305.0,Afuá,39567
PA,15.0,347.0,Água Azul do Norte,27615
PA,15.0,404.0,Alenquer,57092
